patient,period,lag_ms
s515,Period2,344.54464000000735
s515,Period2,671.8124799999932
s515,Period2,281.7503999999899
s515,Period2,583.2544000000053
s515,Period2,175.4169600000023
s515,Period2,346.6233599999978
s515,Period2,174.67712000000756
s515,Period2,472.4806399999943
s515,Period2,244.75072000001092
s515,Period2,73.19615999999223
s515,Period2,483.41055999998935
s515,Period2,223.05728000000818
s515,Period2,281.6646399999736
s515,Period2,372.06463999999687
s515,Period2,-6.186879999993835
s515,Period2,375.3350399999763
s515,Period2,554.546559999988
s515,Period2,532.2464000000036
s515,Period2,245.62880000000587
s515,Period2,475.54623999999603
s515,Period2,516.417919999978
s515,Period2,169.48543999996036
s515,Period3,192.84543999999914
s515,Period3,28.55616000000009
s515,Period3,601.3062400000053
s515,Period3,-216.77503999997862
s515,Period3,586.6860799999849
s515,Period3,375.0803200000082
s515,Period3,500.98751999999513
s515,Period3,218.36352000001352
s515,Period3,328.61759999999776
s515,Period3,455.62687999999616
s515,Period3,268.4806399999943
s515,Period3,-142.9292800000112
s515,Period3,584.1875200000068
s515,Period3,355.83679999999003
s515,Period3,622.0883199999807
s515,Period3,-171.96736000000965
s515,Period4,134.41215999999986
s515,Period4,124.885119999999
s515,Period4,11.841920000006212
s515,Period4,306.2086399999971
s515,Period4,497.2652800000069
s515,Period4,469.91935999999987
s515,Period4,30.54784000001382
s515,Period4,202.2419200000004
s515,Period4,65.31776000000536
s515,Period4,94.10112000000663
s515,Period4,329.1065599999856
s515,Period4,-234.46080000000075
s515,Period4,237.71840000001248
s515,Period4,270.651520000014
s515,Period4,473.57248000000254
s515,Period4,325.0208000000275
s515,Period4,396.7315199999721
s515,Period4,470.39935999998124
s515,Period4,371.03808000002755
s515,Period4,590.5196800000267
s516,Period7,320.9465600000001
s516,Period7,107.13919999999962
s516,Period7,74.79999999999927
s516,Period7,561.2294399999955
s516,Period7,341.2243199999939
s516,Period7,-206.56320000000414
s516,Period7,133.79647999998997
s516,Period7,325.4931199999992
s516,Period7,93.74784000002546
s516,Period7,268.19776000001
s516,Period7,-256.8825599999982
s516,Period7,-89.39328000001842
s516,Period7,-249.19488000002457
s516,Period7,134.75135999999475
s516,Period7,119.37599999998929
s516,Period7,273.1078400000115
s516,Period8,522.2841599999992
s516,Period8,619.9520000000048
s516,Period8,-66.09343999999692
s516,Period8,326.4467200000072
s516,Period8,161.89248000000953
s516,Period8,-219.56543999997666
s516,Period8,-142.31615999998758
s516,Period8,-171.25056000001496
s516,Period8,-2.426240000000689
s516,Period8,244.13631999999052
