patient,period,lag_ms
s511,Period2,400.9017599999788
s511,Period2,253.94751999998698
s511,Period3,483.3184000000001
s511,Period3,-289.5519999999997
s511,Period3,112.57663999999932
s511,Period3,74.35455999999976
s511,Period3,-285.35871999999654
s511,Period3,588.0070399999968
s511,Period3,-199.26975999999559
s511,Period3,499.273600000015
s512,Period10,-211.8214399999997
s512,Period10,158.41472000000067
s512,Period10,77.20384000000195
s512,Period10,164.9657600000064
s512,Period10,229.29984000000695
s512,Period10,115.52064000000246
s512,Period10,382.04352000000654
s512,Period10,-178.39808000001358
s512,Period10,-105.4393600000185
s512,Period10,385.87456000002567
s512,Period10,45.06943999999203
s512,Period10,488.4576000000234
s512,Period10,-76.22847999999067
s512,Period11,147.47711999999592
s512,Period11,313.2243199999939
s512,Period11,345.8348799999949
s512,Period11,-192.6982399999979
s512,Period11,-128.2271999999939
s512,Period11,207.96864000000642
s512,Period11,400.5382399999944
s512,Period11,180.21695999999065
s512,Period11,769.2627199999988
s512,Period11,1306.5964800000074
s512,Period11,200.76480000000447
s512,Period11,-271.9891199999838
s512,Period11,324.7635199999786
s512,Period12,463.57184000000416
s512,Period12,42.492800000007264
s512,Period12,458.8064000000013
s512,Period12,1364.138879999984
s512,Period12,825.441920000012
s512,Period12,250.98560000001453
s512,Period12,304.63808000000427
s512,Period12,296.76095999998506
s512,Period9,230.97279999999955
s512,Period9,213.6838400000015
s512,Period9,173.1219200000014
s512,Period9,243.02272000000085
s512,Period9,359.0508800000025
s512,Period9,69.84128000000783
s512,Period9,-135.96864000000642
s512,Period9,-77.3984000000055
s512,Period9,336.9324799999886
s512,Period9,250.96127999998862
s512,Period9,185.8809599999804
s512,Period9,-283.2070400000084
s515,Period1,231.8790399999998
s515,Period1,149.2870400000029
s515,Period1,149.06432000000495
s515,Period1,340.0300799999968
s515,Period1,276.4691199999943
s515,Period1,356.156799999997
s515,Period1,297.3740800000087
s515,Period1,299.30431999999564
s515,Period1,412.9324800000177
s515,Period1,322.7910399999819
s515,Period1,490.08831999998074
s515,Period1,430.5568000000203
s515,Period1,374.24320000002626
s515,Period2,256.1363199999978
s515,Period2,627.4361599999975
s515,Period2,197.85151999999653
s515,Period2,248.8697600000014
s515,Period2,304.6969600000011
s515,Period2,645.6403200000059
s515,Period2,223.2812799999956
s515,Period2,400.60224000000744
s515,Period2,306.20736000000034
s515,Period2,279.5769599999767
s515,Period2,383.83168000000296
s515,Period2,387.2723199999891
s515,Period2,439.8879999999772
s515,Period2,365.85535999998683
s515,Period2,439.4374400000088
s515,Period3,151.26591999999982
s515,Period3,148.96575999999914
s515,Period3,210.27648000000045
s515,Period3,224.92863999999827
s515,Period3,367.3567999999941
s515,Period3,301.0259199999855
s515,Period3,297.88352000000305
s515,Period3,276.52416000000085
s515,Period3,241.8732799999998
s515,Period3,264.82368000000133
s515,Period3,124.51904000001377
s515,Period3,417.034879999992
s515,Period3,384.1913599999971
s515,Period3,415.12767999997595
s515,Period4,109.47391999999991
s515,Period4,273.3267199999973
s515,Period4,150.39808000001358
s515,Period4,216.80575999998837
s515,Period4,449.430400000012
s515,Period4,492.2592000000004
s515,Period4,163.26592000000528
s515,Period4,411.5513600000122
s515,Period4,113.82591999997385
s515,Period4,128.4639999999781
s515,Period4,322.7334399999818
s515,Period4,464.58175999997184
s515,Period4,-213.93984000000637
s515,Period4,110.68735999998171
s515,Period4,372.64704000001075
s515,Period4,253.0950399999856
s516,Period7,-81.42015999999967
s516,Period7,342.53375999999844
s516,Period7,386.47999999999956
s516,Period7,232.35519999999815
s516,Period7,187.9852799999935
s516,Period7,523.5769600000058
s516,Period7,299.1187199999986
s516,Period7,505.3843199999974
s516,Period7,-161.48928000000888
s516,Period7,84.11199999999371
s516,Period7,180.07487999997102
s516,Period7,-282.25215999997454
s516,Period7,302.6553599999752
s516,Period7,275.09055999998236
s516,Period7,852.0428800000227
s516,Period7,148.11968000000343
