Electrode,Cluster,FR_Hz,ISI_mean_ms,ISI_median_ms,ISI_std_ms,Start_ms,End_ms,Duration_ms,thr,SNR
microPPN_L_1-3+,0,1.0944485877858132,886.8360455045872,527.5443200000009,1099.1282436194672,1264.92672,387925.44256,386660.51584,0.0,1.6218375399659521
microPPN_L_2-3+,1,1.7831748157974807,560.4919160618846,318.3411199999973,739.5825510866991,689.152,399198.90432,398509.75231999997,0.0,2.179952835666704
microPPN_L_2-3+,3,1.5778091768994562,605.4324950079491,79.50335999997333,2246.9607203810383,7048.64256,387865.68192,380817.03936,0.0,5.924460228868289
microPPN_L_4-5+,2,0.9717300962491889,1029.8424624289405,661.2992000000086,1161.1626363200544,146.39104,398695.424,398549.03296,0.0,1.4731577609307536
microPPN_L_4-5+,3,0.8164536375701948,1225.0238660923076,710.9427199999918,1547.315153342399,918.15936,399050.91584,398132.75648,0.0,1.5361126281783746
microPPN_L_4-6+,1,0.9016052439425464,1109.4467815041785,699.4739199999894,1271.7151867772886,126.7712,398418.16576,398291.39456,0.0,1.7346278331928773
microPPN_L_4-6+,2,1.3974881281109468,711.7503011849192,449.0444799999823,794.217550249732,2511.33952,398956.25728,396444.91776000004,0.0,1.6326057445488598
microPPN_L_5-6+,3,1.0293326535010738,945.5519094634146,571.0643199999904,1204.8501705929793,1121.56672,388797.8496,387676.28288,0.0,1.6246150385687654
microPPN_L_5-6+,4,0.9742345552601404,1014.6011579381444,642.3961599999893,1163.7822586856885,1493.1968,395158.44608,393665.24928000005,0.0,1.6073007742277983
microPPN_L_7-8+,1,1.3248588167933528,743.955936969697,402.98495999999705,1044.2360041135132,16.71168,392825.4464,392808.73472,0.0,1.419355206773256
microPPN_L_7-8+,3,0.9316587520739646,1071.5630611320753,570.0812799999985,1388.3366540797842,982.05696,398531.95264,397549.89567999996,0.0,1.4653137743581433
microPPN_R_1-2+,0,9.737336634579501,100.4040034988423,40.59136000002036,183.37734264154432,477.92128,390748.28288,390270.3616,0.0,1.3766903796815304
microPPN_R_1-2+,4,14.070050723525627,69.1658639700908,18.964479999995092,166.32390088219594,21.83168,388526.4896,388504.65791999997,0.0,1.9898228389359536
microPPN_R_1-3+,0,8.179563129767658,121.68695375191423,50.667520000002696,240.93029378773804,1911.02976,399218.93376,397307.904,0.0,1.5393292210105065
microPPN_R_1-3+,1,3.037908780284191,318.84108884488444,100.84351999999853,586.0214112065182,2091.08992,388526.4896,386435.39968,0.0,2.751337698533536
microPPN_R_1-3+,2,5.55989900431237,175.0156932672375,50.87231999999494,379.9735965687877,21.83168,388381.65504,388359.82336,0.0,1.7213509380538312
microPPN_R_1-3+,3,3.298372517423149,302.9940989665654,180.6131200000018,355.8385749890923,53.20704,398793.44128,398740.23424,0.0,1.2052059938055395
microPPN_R_1-3+,4,3.0930068785251246,318.732497115073,160.7884800000029,467.3320700694324,737.77152,394053.67296,393315.90144,0.0,1.625370391843083
microPPN_R_2-3+,4,3.8493534998324828,256.5285333333333,143.03232000000753,309.5018953187707,53.20704,394081.03424,394027.8272,0.0,1.4845224669153838
microPPN_R_4-5+,0,1.184609112180068,814.0468501694914,389.2428799999907,1354.706847941909,14182.85056,398412.96384,384230.11328,0.0,1.3714843300998183
microPPN_R_4-6+,3,2.5495392731486453,392.1065760471976,215.98208000004524,508.8260668681584,75.20256,398847.5904,398772.38784,0.0,1.315262255793231
microVoSTN_L_1-2+,1,5.968125823097467,167.36209571788413,108.58496000000741,183.60133856404389,510.7712,399167.2832,398656.512,0.0,1.9944100985891229
microVoSTN_L_1-2+,2,7.443252180547911,134.24455948838775,78.02879999997094,159.632632544828,42.14784,398882.73408,398840.58624000003,0.0,2.4606967736298606
microVoSTN_L_1-3+,0,7.025007525719007,142.20283617689014,84.60287999999218,172.97902612813573,103.91552,398840.66816,398736.75264,0.0,2.25759248345224
