Electrode,Cluster,Spike_ms,IsBurst,BurstIndex
microGPi1_L_1_CommonFiltered,0,102809.84576,False,-1
microGPi1_L_1_CommonFiltered,0,103125.03296,False,-1
microGPi1_L_1_CommonFiltered,0,104392.41728,False,-1
microGPi1_L_1_CommonFiltered,0,104850.75968,False,-1
microGPi1_L_1_CommonFiltered,0,104906.26048,False,-1
microGPi1_L_1_CommonFiltered,0,105563.38176,False,-1
microGPi1_L_1_CommonFiltered,0,106138.99264,False,-1
microGPi1_L_1_CommonFiltered,0,106496.24576,False,-1
microGPi1_L_1_CommonFiltered,0,107044.53632,False,-1
microGPi1_L_1_CommonFiltered,0,107431.7312,False,-1
microGPi1_L_1_CommonFiltered,0,108920.99584,False,-1
microGPi1_L_1_CommonFiltered,0,109507.33824,False,-1
microGPi1_L_1_CommonFiltered,0,110085.44768,False,-1
microGPi1_L_1_CommonFiltered,0,110588.39552,False,-1
microGPi1_L_1_CommonFiltered,0,111390.3104,False,-1
microGPi1_L_1_CommonFiltered,0,111782.25664,False,-1
microGPi1_L_1_CommonFiltered,0,112000.28672,False,-1
microGPi1_L_1_CommonFiltered,0,114088.67328,False,-1
microGPi1_L_1_CommonFiltered,0,115061.67808,False,-1
microGPi1_L_1_CommonFiltered,0,115323.6992,False,-1
microGPi1_L_1_CommonFiltered,0,115869.57312,False,-1
microGPi1_L_1_CommonFiltered,0,115932.93824,False,-1
microGPi1_L_1_CommonFiltered,0,116375.47008,False,-1
microGPi1_L_1_CommonFiltered,0,116825.00608,False,-1
microGPi1_L_1_CommonFiltered,0,117515.30496,False,-1
microGPi1_L_1_CommonFiltered,0,118311.936,False,-1
microGPi1_L_1_CommonFiltered,0,118348.10368,False,-1
microGPi1_L_1_CommonFiltered,0,118795.22304,False,-1
microGPi1_L_1_CommonFiltered,0,119482.9824,False,-1
microGPi1_L_1_CommonFiltered,0,120022.50752,False,-1
microGPi1_L_1_CommonFiltered,0,120061.87008,False,-1
microGPi1_L_1_CommonFiltered,0,120113.07008,False,-1
microGPi1_L_1_CommonFiltered,0,120539.58656,False,-1
microGPi1_L_1_CommonFiltered,0,120792.55552,False,-1
microGPi1_L_1_CommonFiltered,0,121054.24896,False,-1
microGPi1_L_1_CommonFiltered,0,121092.25984,False,-1
microGPi1_L_1_CommonFiltered,0,121225.05216,False,-1
microGPi1_L_1_CommonFiltered,0,121247.17056,False,-1
microGPi1_L_1_CommonFiltered,0,121322.25024,False,-1
microGPi1_L_1_CommonFiltered,0,121734.43072,False,-1
microGPi1_L_1_CommonFiltered,0,122547.52768,False,-1
microGPi1_L_1_CommonFiltered,0,122649.35424,False,-1
microGPi1_L_1_CommonFiltered,0,123589.95968,False,-1
microGPi1_L_1_CommonFiltered,0,123772.3136,False,-1
microGPi1_L_1_CommonFiltered,0,124261.04832,False,-1
microGPi1_L_1_CommonFiltered,0,124741.2224,False,-1
microGPi1_L_1_CommonFiltered,0,125088.5632,False,-1
microGPi1_L_1_CommonFiltered,0,125102.85824,False,-1
microGPi1_L_1_CommonFiltered,0,125360.90624,False,-1
microGPi1_L_1_CommonFiltered,0,125792.54272,False,-1
microGPi1_L_1_CommonFiltered,0,126008.9344,False,-1
microGPi1_L_1_CommonFiltered,0,126108.91776,False,-1
microGPi1_L_1_CommonFiltered,0,126256.7424,False,-1
microGPi1_L_1_CommonFiltered,0,126761.82016,False,-1
microGPi1_L_1_CommonFiltered,0,126902.23104,False,-1
microGPi1_L_1_CommonFiltered,0,127499.96032,False,-1
microGPi1_L_1_CommonFiltered,0,128144.7936,False,-1
microGPi1_L_1_CommonFiltered,0,128201.3184,False,-1
microGPi1_L_1_CommonFiltered,0,128779.264,False,-1
microGPi1_L_1_CommonFiltered,0,129810.8416,False,-1
microGPi1_L_1_CommonFiltered,0,131773.60384,False,-1
microGPi1_L_1_CommonFiltered,0,134191.18592,False,-1
microGPi1_L_1_CommonFiltered,0,134921.95328,False,-1
microGPi1_L_1_CommonFiltered,0,134948.12672,False,-1
microGPi1_L_1_CommonFiltered,0,135053.9264,False,-1
microGPi1_L_1_CommonFiltered,0,135589.35552,False,-1
microGPi1_L_1_CommonFiltered,0,136655.6672,False,-1
microGPi1_L_1_CommonFiltered,0,137394.13504,False,-1
microGPi1_L_1_CommonFiltered,0,137520.82432,False,-1
microGPi1_L_1_CommonFiltered,0,137639.69024,False,-1
microGPi1_L_1_CommonFiltered,0,139408.46592,False,-1
microGPi1_L_1_CommonFiltered,0,140290.2528,False,-1
microGPi1_L_1_CommonFiltered,0,140598.84544,False,-1
microGPi1_L_1_CommonFiltered,0,140672.77824,False,-1
microGPi1_L_1_CommonFiltered,0,141341.32736,False,-1
microGPi1_L_1_CommonFiltered,0,141716.84864,False,-1
microGPi1_L_1_CommonFiltered,0,141792.78848,False,-1
microGPi1_L_1_CommonFiltered,0,142152.58112,False,-1
microGPi1_L_1_CommonFiltered,0,142664.25344,False,-1
microGPi1_L_1_CommonFiltered,0,143587.5328,False,-1
microGPi1_L_1_CommonFiltered,0,144292.29056,False,-1
microGPi1_L_1_CommonFiltered,0,145444.6592,False,-1
microGPi1_L_1_CommonFiltered,0,145477.4272,False,-1
microGPi1_L_1_CommonFiltered,0,146476.40064,False,-1
microGPi1_L_1_CommonFiltered,0,146578.6368,False,-1
microGPi1_L_1_CommonFiltered,0,147441.82784,False,-1
microGPi1_L_1_CommonFiltered,0,147660.34944,False,-1
microGPi1_L_1_CommonFiltered,0,148362.81344,False,-1
microGPi1_L_1_CommonFiltered,0,149007.52384,False,-1
microGPi1_L_1_CommonFiltered,0,149317.26336,False,-1
microGPi1_L_1_CommonFiltered,0,149377.31072,False,-1
microGPi1_L_1_CommonFiltered,0,150515.34336,False,-1
microGPi1_L_1_CommonFiltered,0,150552.61696,False,-1
microGPi1_L_1_CommonFiltered,0,150908.14976,False,-1
microGPi1_L_1_CommonFiltered,0,151031.84896,False,-1
microGPi1_L_1_CommonFiltered,0,151611.55584,False,-1
microGPi1_L_1_CommonFiltered,0,152379.92448,False,-1
microGPi1_L_1_CommonFiltered,0,152608.52224,False,-1
microGPi1_L_1_CommonFiltered,0,152958.48448,False,-1
microGPi1_L_1_CommonFiltered,0,153629.98272,False,-1
microGPi1_L_1_CommonFiltered,0,154158.77632,False,-1
microGPi1_L_1_CommonFiltered,0,154946.88768,False,-1
microGPi1_L_1_CommonFiltered,0,155814.62528,False,-1
microGPi1_L_1_CommonFiltered,0,156468.30592,False,-1
microGPi1_L_1_CommonFiltered,0,156689.89952,False,-1
microGPi1_L_1_CommonFiltered,0,156873.64608,False,-1
microGPi1_L_1_CommonFiltered,0,157677.40416,False,-1
microGPi1_L_1_CommonFiltered,0,157740.89216,False,-1
microGPi1_L_1_CommonFiltered,0,159921.93024,False,-1
microGPi1_L_1_CommonFiltered,0,160747.52,False,-1
microGPi1_L_1_CommonFiltered,0,160904.31488,False,-1
microGPi1_L_1_CommonFiltered,0,162300.88704,False,-1
microGPi1_L_1_CommonFiltered,0,162914.83648,False,-1
microGPi1_L_1_CommonFiltered,0,163118.85824,False,-1
microGPi1_L_1_CommonFiltered,0,163458.90816,False,-1
microGPi1_L_1_CommonFiltered,0,164221.3376,False,-1
microGPi1_L_1_CommonFiltered,0,165649.8176,False,-1
microGPi1_L_1_CommonFiltered,0,165903.27808,False,-1
microGPi1_L_1_CommonFiltered,0,165970.24768,False,-1
microGPi1_L_1_CommonFiltered,0,166627.69664,False,-1
microGPi1_L_1_CommonFiltered,0,166942.02368,False,-1
microGPi1_L_1_CommonFiltered,0,167213.13792,False,-1
microGPi1_L_1_CommonFiltered,0,168220.13952,False,-1
microGPi1_L_1_CommonFiltered,0,168732.8768,False,-1
microGPi1_L_1_CommonFiltered,0,169416.74496,False,-1
microGPi1_L_1_CommonFiltered,0,169438.90432,False,-1
microGPi1_L_1_CommonFiltered,0,170436.1984,False,-1
microGPi1_L_1_CommonFiltered,0,170633.70752,False,-1
microGPi1_L_1_CommonFiltered,0,170823.14752,False,-1
microGPi1_L_1_CommonFiltered,0,171370.00448,False,-1
microGPi1_L_1_CommonFiltered,0,172574.76096,False,-1
microGPi1_L_1_CommonFiltered,0,172873.76896,False,-1
microGPi1_L_1_CommonFiltered,0,174394.85952,False,-1
microGPi1_L_1_CommonFiltered,0,175087.90272,False,-1
microGPi1_L_1_CommonFiltered,0,176884.65408,False,-1
microGPi1_L_1_CommonFiltered,0,176916.8896,False,-1
microGPi1_L_1_CommonFiltered,0,178320.13824,False,-1
microGPi1_L_1_CommonFiltered,0,178499.70688,False,-1
microGPi1_L_1_CommonFiltered,0,179328.08192,False,-1
microGPi1_L_1_CommonFiltered,0,179597.27104,False,-1
microGPi1_L_1_CommonFiltered,0,180045.57824,False,-1
microGPi1_L_1_CommonFiltered,0,180355.35872,False,-1
microGPi1_L_1_CommonFiltered,0,180662.96832,False,-1
microGPi1_L_1_CommonFiltered,0,180700.44672,False,-1
microGPi1_L_1_CommonFiltered,0,181430.10816,False,-1
microGPi1_L_1_CommonFiltered,0,182344.62208,False,-1
microGPi1_L_1_CommonFiltered,0,182363.05408,False,-1
microGPi1_L_1_CommonFiltered,0,182812.13952,False,-1
microGPi1_L_1_CommonFiltered,0,183126.71232,False,-1
