Electrode,Cluster,Start_ms,End_ms,Duration_ms,Num_Spikes,RS,Method
microVIM_L_3_CommonFiltered,0,207306.87488,207478.00576,171.13088000001153,5,7.511372532112851,RankSurprise
microVIM_L_3_CommonFiltered,0,218867.67104,218964.54144,96.87040000001434,4,6.81620748213626,RankSurprise
microVIM_L_3_CommonFiltered,0,247285.06368,247447.30624,162.24256000001333,4,4.462965527745087,RankSurprise
microVIM_L_3_CommonFiltered,0,292030.54592,292573.26592,542.7199999999721,8,5.173052187403724,RankSurprise
microVIM_L_3_CommonFiltered,0,294172.63104,294228.7872,56.15616000001319,3,5.308351588826337,RankSurprise
microVIM_L_3_CommonFiltered,0,296638.70976,298028.97408,1390.2643200000166,15,6.701304297379215,RankSurprise
microVIM_L_3_CommonFiltered,0,317258.42432,317336.576,78.15168000000995,3,3.5805456889154677,RankSurprise
microVIM_L_3_CommonFiltered,0,322799.08352,323247.18592,448.1024000000325,6,3.6543893453233,RankSurprise
microVIM_L_3_CommonFiltered,0,326779.57632,328329.6256,1550.0492800000357,21,12.886489524042755,RankSurprise
microVIM_L_3_CommonFiltered,0,329844.57216,331842.19136,1997.6192000000156,26,14.254991413206245,RankSurprise
microVIM_L_3_CommonFiltered,0,371163.87328,372282.5728,1118.6995200000238,14,7.568768613963958,RankSurprise
microVIM_L_3_CommonFiltered,0,395816.22272,397039.90272,1223.679999999993,13,5.513322049327325,RankSurprise
microVIM_L_3_CommonFiltered,0,407546.59328,407628.75904,82.1657600000035,3,4.003165512242477,RankSurprise
microVIM_L_3_CommonFiltered,0,411341.78304,411511.07072,169.28768000000855,4,3.809396788872327,RankSurprise
microVIM_L_3_CommonFiltered,1,4788.26496,5058.92864,270.66367999999966,7,5.598590740366427,RankSurprise
microVIM_L_3_CommonFiltered,1,10784.23552,11172.41344,388.1779200000001,8,6.342924161838316,RankSurprise
microVIM_L_3_CommonFiltered,1,38121.39008,38217.07264,95.6825600000011,4,4.435754422748449,RankSurprise
microVIM_L_3_CommonFiltered,1,43779.39968,43854.35648,74.95679999999993,4,5.385945776198962,RankSurprise
microVIM_L_3_CommonFiltered,1,45191.168,45242.12224,50.95423999999912,3,3.9983607563908965,RankSurprise
microVIM_L_3_CommonFiltered,1,57327.04256,57378.85696,51.81439999999566,4,6.876617664931203,RankSurprise
microVIM_L_3_CommonFiltered,1,64316.70272,64440.56576,123.86303999999654,4,3.7553002408442815,RankSurprise
microVIM_L_3_CommonFiltered,1,66777.33376,66836.31616,58.982400000008056,4,6.268002996617614,RankSurprise
microVIM_L_3_CommonFiltered,1,69351.2192,69844.04992,492.8307199999981,8,4.6278553710812895,RankSurprise
microVIM_L_3_CommonFiltered,1,78034.69824,78160.56832,125.87008000000787,4,3.6016035918211244,RankSurprise
microVIM_L_3_CommonFiltered,1,89186.42688,89213.1328,26.70592000000761,3,5.612783460125302,RankSurprise
microVIM_L_3_CommonFiltered,1,90051.05152,90502.63552,451.58400000000256,8,5.337631805705894,RankSurprise
microVIM_L_3_CommonFiltered,1,126562.14016,126616.3712,54.23103999999876,3,3.668849518187196,RankSurprise
microVIM_L_3_CommonFiltered,1,131457.26976,131485.85984,28.590079999994487,3,5.13843604496172,RankSurprise
microVIM_L_3_CommonFiltered,1,134206.75072,134612.86912,406.11839999997756,7,3.543218056560264,RankSurprise
microVIM_L_3_CommonFiltered,1,140084.71552,140773.90848,689.1929600000149,9,3.681674580993336,RankSurprise
microVIM_L_3_CommonFiltered,1,145314.48832,145857.20832,542.7200000000012,12,8.473053861273133,RankSurprise
microVIM_L_3_CommonFiltered,1,154778.58304,155263.05792,484.4748799999943,13,11.916274039221841,RankSurprise
microVIM_L_3_CommonFiltered,1,171087.95392,171452.45696,364.5030400000105,10,9.594222586786758,RankSurprise
microVIM_L_3_CommonFiltered,1,175101.5424,175939.33824,837.7958400000061,14,7.202816477422418,RankSurprise
microVIM_L_3_CommonFiltered,1,197143.22432,197682.13504,538.9107199999853,9,4.589232720425216,RankSurprise
microVIM_L_3_CommonFiltered,1,199945.0112,199954.30912,9.297919999982696,3,7.870508288902819,RankSurprise
microVIM_L_3_CommonFiltered,1,209291.264,209827.18464,535.9206399999966,8,4.157516869218399,RankSurprise
microVIM_L_3_CommonFiltered,1,211207.9872,213737.10336,2529.116160000005,41,21.98789298011388,RankSurprise
microVIM_L_3_CommonFiltered,1,222417.26464,222628.29056,211.0259199999855,5,3.6998562787044236,RankSurprise
microVIM_L_3_CommonFiltered,1,224902.22592,225172.31616,270.09023999999044,6,4.133493890020982,RankSurprise
microVIM_L_3_CommonFiltered,1,235975.14752,236471.17312,496.0255999999936,8,4.558897356533319,RankSurprise
microVIM_L_3_CommonFiltered,1,242472.96,243181.64992,708.6899200000043,12,6.753456471270622,RankSurprise
microVIM_L_3_CommonFiltered,1,255077.53984,255256.65792,179.11807999998564,5,4.379935552769165,RankSurprise
microVIM_L_3_CommonFiltered,1,261802.22976,261817.63072,15.400959999999031,3,6.741359276374627,RankSurprise
microVIM_L_3_CommonFiltered,1,274754.9696,275273.3184,518.3487999999779,9,5.256830025924361,RankSurprise
microVIM_L_3_CommonFiltered,1,284329.65632,285382.49216,1052.8358400000143,13,4.496134760543208,RankSurprise
microVIM_L_3_CommonFiltered,1,287163.35104,287718.1952,554.8441600000369,11,8.016016302883049,RankSurprise
microVIM_L_3_CommonFiltered,1,324842.33216,325708.26752,865.9353600000031,14,7.396659454861668,RankSurprise
microVIM_L_3_CommonFiltered,1,329046.58944,329071.90272,25.313280000002123,3,5.7196806881364335,RankSurprise
microVIM_L_3_CommonFiltered,1,341018.99264,341647.85152,628.8588800000143,11,6.058796178391043,RankSurprise
microVIM_L_3_CommonFiltered,1,347904.53248,348080.9472,176.41472000000067,7,8.634414833653409,RankSurprise
microVIM_L_3_CommonFiltered,1,351919.7184,351968.29696,48.57855999999447,3,3.772769212679263,RankSurprise
microVIM_L_3_CommonFiltered,1,355974.3488,356135.56736,161.21856000000844,6,6.661540861504307,RankSurprise
microVIM_L_3_CommonFiltered,1,371465.91232,371513.83552,47.92320000001928,3,4.15706514300264,RankSurprise
microVIM_L_3_CommonFiltered,1,383884.45184,383912.63232,28.18047999998089,3,5.4972263506534755,RankSurprise
microVIM_L_3_CommonFiltered,1,386003.968,386058.4448,54.476800000004005,3,3.784656346726372,RankSurprise
microVIM_L_3_CommonFiltered,1,392296.36608,392313.89696,17.530879999976605,3,6.5188994857708185,RankSurprise
microVIM_L_3_CommonFiltered,1,399930.12224,400050.33984,120.21759999997448,4,3.7297370663949714,RankSurprise
microVIM_L_3_CommonFiltered,1,404554.67008,404904.26368,349.59359999996377,8,5.905732857429917,RankSurprise
microVIM_L_3_CommonFiltered,1,409318.07232,409458.23744,140.16512000001967,6,7.565762252488739,RankSurprise
microVIM_L_3_CommonFiltered,1,410942.91456,410958.72512,15.810560000012629,3,6.794344831774163,RankSurprise
microVIM_L_3_CommonFiltered,2,3838.81216,4507.4432,668.6310399999998,8,4.452088052712662,RankSurprise
microVIM_L_3_CommonFiltered,2,17971.89632,18058.24,86.34368000000177,4,6.15207251750045,RankSurprise
microVIM_L_3_CommonFiltered,2,31987.42528,32151.87968,164.4543999999987,4,3.9954967123185803,RankSurprise
microVIM_L_3_CommonFiltered,2,45813.59616,45933.85472,120.25856000000203,4,4.949591683789077,RankSurprise
microVIM_L_3_CommonFiltered,2,51718.18496,52532.0192,813.8342400000038,8,3.5146873831688494,RankSurprise
microVIM_L_3_CommonFiltered,2,64623.24736,64653.27104,30.02367999999842,3,5.8287637948763305,RankSurprise
microVIM_L_3_CommonFiltered,2,69595.9552,69624.50432,28.549119999996037,3,5.91526629189976,RankSurprise
microVIM_L_3_CommonFiltered,2,75469.74208,76885.03296,1415.2908800000005,12,3.940631375193985,RankSurprise
microVIM_L_3_CommonFiltered,2,92100.608,92162.70336,62.09536000000662,3,4.180019032935046,RankSurprise
microVIM_L_3_CommonFiltered,2,96404.11136,98523.66848,2119.5571199999977,20,8.473072885068067,RankSurprise
microVIM_L_3_CommonFiltered,2,103770.9312,103967.58016,196.64895999999135,4,3.5221861229332063,RankSurprise
microVIM_L_3_CommonFiltered,2,119699.98848,119820.98432,120.99584000000323,4,5.020183436626514,RankSurprise
microVIM_L_3_CommonFiltered,2,130147.04128,130342.66624,195.624960000001,4,3.548311143297987,RankSurprise
microVIM_L_3_CommonFiltered,2,133820.6208,133899.50976,78.88895999998203,3,3.7253946888688,RankSurprise
microVIM_L_3_CommonFiltered,2,140884.7872,141981.36832,1096.581120000017,10,3.9604861673042415,RankSurprise
microVIM_L_3_CommonFiltered,2,144604.52864,144675.38944,70.86079999999492,3,3.8238997989300376,RankSurprise
microVIM_L_3_CommonFiltered,2,162460.38528,162696.51968,236.13440000000992,6,6.762341217261515,RankSurprise
