Region,Start_ms,End_ms,Duration_ms,Num_Events,RS,Method
GPi,199180.41088,199239.14752,58.736639999988256,4,4.027125196874934,RS_region_onsets
GPi,203639.6032,203646.40256,6.799359999975422,3,5.828604690154423,RS_region_onsets
GPi,215659.1104,215758.68416,99.57375999999931,5,4.224185675767497,RS_region_onsets
GPi,218142.43328,218236.3136,93.88031999999657,8,10.227664130130087,RS_region_onsets
GPi,218716.61056,219034.50112,317.8905599999998,9,4.902946540317758,RS_region_onsets
GPi,219754.04544,220875.40736,1121.3619200000248,21,5.764741048019443,RS_region_onsets
GPi,221357.58848,221411.77856,54.19008000000031,4,4.245138862653725,RS_region_onsets
GPi,240976.11776,241045.9136,69.79584000000614,4,4.034142746778787,RS_region_onsets
GPi,242557.3376,242784.54272,227.20511999999871,9,6.874417699922805,RS_region_onsets
GPi,243878.2976,244524.35968,646.0620800000033,15,6.3285703785671,RS_region_onsets
GPi,251615.35488,251690.22976,74.87487999998848,5,5.200463070553933,RS_region_onsets
GPi,254030.27456,254051.7376,21.463040000002366,4,6.681703583423392,RS_region_onsets
GPi,262156.0832,262504.28416,348.2009599999874,12,7.771792795230648,RS_region_onsets
GPi,270936.2688,271226.92096,290.6521599999978,9,5.252743136707014,RS_region_onsets
GPi,280093.36832,280540.48768,447.1193600000115,13,7.031575320167663,RS_region_onsets
GPi,297829.94944,297886.35136,56.40191999997478,4,4.344764923813539,RS_region_onsets
GPi,307689.59488,308330.2912,640.6963199999882,17,8.462193353232584,RS_region_onsets
GPi,309498.2656,310179.55328,681.2876800000085,15,4.888760022470466,RS_region_onsets
GPi,321832.67328,321864.94976,32.27648000000045,4,5.628137123312108,RS_region_onsets
GPi,324202.16832,324587.23328,385.0649599999888,11,5.913821919806789,RS_region_onsets
GPi,327501.824,327513.41568,11.591679999954067,3,5.261689599737387,RS_region_onsets
GPi,328479.3344,329307.29984,827.96544,18,7.306357096560286,RS_region_onsets
GPi,330321.5104,330395.93472,74.42431999999098,5,5.161426451026603,RS_region_onsets
GPi,332002.54976,332541.50144,538.9516799999983,20,14.079124077969709,RS_region_onsets
GPi,340188.61056,340514.07872,325.46815999998944,9,4.746576319737564,RS_region_onsets
GPi,342858.50624,343543.88992,685.3836799999699,17,6.885183648705407,RS_region_onsets
GPi,349044.20352,349104.82432,60.62080000003334,5,5.86867978178881,RS_region_onsets
GPi,350142.17728,350682.35776,540.1804799999809,12,4.858127266918673,RS_region_onsets
GPi,351922.09408,351958.2208,36.126720000000205,4,5.390768208862291,RS_region_onsets
GPi,355500.032,355518.30016,18.268159999977797,3,4.304962718522644,RS_region_onsets
GPi,355740.63104,356841.75872,1101.127679999976,29,15.173903910672943,RS_region_onsets
GPi,357997.40416,358492.7744,495.3702400000184,17,10.916636247382423,RS_region_onsets
GPi,359609.42592,359874.72384,265.2979199999827,7,4.09544930294645,RS_region_onsets
GPi,366252.93312,366307.65568,54.722560000023805,4,4.285611671060622,RS_region_onsets
GPi,370513.5104,370523.9552,10.444799999997485,3,5.204440427316664,RS_region_onsets
GPi,377236.76672,377255.69024,18.923520000011194,3,4.323041960761957,RS_region_onsets
GPi,393297.87904,393313.97632,16.097279999987222,4,7.26740957353649,RS_region_onsets
GPi,405063.96672,406608.73216,1544.7654399999883,33,11.97512262647059,RS_region_onsets
GPi,408354.69312,408808.48896,453.79583999997703,12,6.470532801255465,RS_region_onsets
GPi,410228.61312,412496.77312,2268.1600000000326,49,14.36741792658526,RS_region_onsets
VIM,35803.46368,36387.14368,583.6800000000003,10,6.4428372770836715,RS_region_onsets
VIM,41077.06368,41091.80928,14.745600000002014,3,5.343243330997634,RS_region_onsets
VIM,43187.24096,43222.79424,35.553280000000086,3,4.050807115149791,RS_region_onsets
VIM,45687.23456,45875.6096,188.37504000000627,5,4.076185558505269,RS_region_onsets
VIM,51703.3984,52473.2416,769.843200000003,10,5.813480290825917,RS_region_onsets
VIM,54982.69696,55049.25696,66.55999999999767,5,7.653609759237167,RS_region_onsets
VIM,55963.52512,56063.50848,99.98335999999836,4,4.108345140176759,RS_region_onsets
VIM,57177.088,59132.35456,1955.2665599999964,17,5.0538741708025405,RS_region_onsets
VIM,63791.47264,63806.01344,14.540800000002491,3,5.469413846169253,RS_region_onsets
VIM,64621.48608,66056.43776,1434.9516799999983,14,5.3172391190275095,RS_region_onsets
VIM,69268.76672,69602.5088,333.74207999999635,6,3.9957746185401115,RS_region_onsets
VIM,70803.53792,71157.47328,353.93536000000313,6,4.035951368955831,RS_region_onsets
VIM,93548.38016,93645.4144,97.03423999999359,4,4.232891623020365,RS_region_onsets
VIM,97414.06208,99321.20064,1907.1385599999921,23,9.906322237408144,RS_region_onsets
VIM,114913.11616,115693.69088,780.5747199999896,13,7.519513142677993,RS_region_onsets
VIM,136695.84896,136808.8576,113.00863999998546,4,4.015525884557512,RS_region_onsets
VIM,140084.71552,140299.10016,214.38464000000386,6,5.404779699834194,RS_region_onsets
VIM,203025.65376,203063.17312,37.51936000000569,4,6.5592264110762315,RS_region_onsets
VIM,219943.936,219989.07392,45.13792000000831,5,8.726677838943292,RS_region_onsets
VIM,244024.81152,244166.656,141.84447999999975,5,5.1992194848430096,RS_region_onsets
VIM,253987.30752,255320.10496,1332.7974399999948,18,8.75528931057771,RS_region_onsets
VIM,307957.39136,310153.33888,2195.947519999987,29,16.71267451805961,RS_region_onsets
VIM,326740.1728,326860.1856,120.01280000002589,4,3.962238403445973,RS_region_onsets
VIM,328351.62112,332923.2896,4571.668479999993,53,20.23033070564689,RS_region_onsets
VIM,342907.86304,343497.35936,589.4963199999765,9,4.7454627762963275,RS_region_onsets
VIM,350509.99808,350537.03168,27.033600000024308,3,4.643027371716233,RS_region_onsets
VIM,357911.42912,358235.91424,324.48512000002665,7,5.890242589094477,RS_region_onsets
VIM,371431.05536,371465.91232,34.85696000000462,3,4.163778945700429,RS_region_onsets
VIM,390089.3184,390551.87968,462.56128000002354,7,4.114575768285155,RS_region_onsets
VIM,391843.06176,392602.33728,759.2755199999665,14,9.02469939944508,RS_region_onsets
VIM,404554.67008,406288.05632,1733.3862399999634,16,4.357906120544731,RS_region_onsets
VIM,408780.22656,409789.07136,1008.8448000000208,11,3.9812706807204994,RS_region_onsets
VIM,410356.9408,412111.91296,1754.9721600000048,24,12.597224895948493,RS_region_onsets
CMCL,51868.13952,52294.98368,426.84416000000056,7,5.195876991348027,RS_region_onsets
CMCL,61871.75936,63950.848,2079.0886400000018,22,9.385948431232658,RS_region_onsets
CMCL,73351.53664,73829.86752,478.33087999999407,7,4.2871929253923025,RS_region_onsets
CMCL,93693.00992,93751.5008,58.49087999999756,4,6.588760069501184,RS_region_onsets
CMCL,117314.19136,117343.80544,29.614079999999376,3,5.47761925885067,RS_region_onsets
CMCL,119761.75616,119802.38848,40.632319999989704,3,4.545988907376266,RS_region_onsets
CMCL,159502.37696,159618.70336,116.32640000001993,4,4.780984133847813,RS_region_onsets
CMCL,176287.98976,176784.87552,496.88576000000467,8,5.5120741302399185,RS_region_onsets
CMCL,196921.46688,197418.06592,496.59904000000097,7,4.161615451121691,RS_region_onsets
CMCL,200833.14688,200985.6,152.45312000002014,4,4.030199860392422,RS_region_onsets
CMCL,202819.21536,203026.88256,207.66719999999623,5,4.755546077585706,RS_region_onsets
CMCL,235807.86688,235864.76032,56.89344000001438,3,3.9841802602794516,RS_region_onsets
CMCL,242912.21504,243161.37472,249.15967999998247,6,6.180909209593757,RS_region_onsets
CMCL,253929.63584,254003.56864,73.93280000000959,5,9.093325881728333,RS_region_onsets
CMCL,254736.13824,255556.56704,820.4287999999942,8,4.370661706714621,RS_region_onsets
CMCL,263919.77984,264224.5632,304.78336000000127,7,6.597658841428391,RS_region_onsets
CMCL,293761.47456,293944.97536,183.5007999999798,5,5.287819278054656,RS_region_onsets
CMCL,303840.74752,303973.04832,132.30080000002636,4,4.314471052889566,RS_region_onsets
CMCL,304505.89696,305147.86304,641.966080000042,8,4.709937526597488,RS_region_onsets
CMCL,307971.31776,307995.0336,23.715840000018943,3,6.024496021008662,RS_region_onsets
CMCL,326413.68064,326497.32096,83.64032000000589,4,5.546123299964378,RS_region_onsets
CMCL,331039.98976,332391.17824,1351.1884799999534,17,9.816806934281635,RS_region_onsets
CMCL,351833.98912,352674.97984,840.9907200000016,11,6.061028637437174,RS_region_onsets
CMCL,354484.51072,354835.74272,351.23199999995995,7,6.254854022750455,RS_region_onsets
CMCL,355659.93984,355783.02464,123.08480000001146,8,14.957660670570426,RS_region_onsets
CMCL,361665.9456,361721.6512,55.7056000000448,3,4.067526100001487,RS_region_onsets
CMCL,371145.44128,371224.00256,78.56127999996534,4,5.706287974056313,RS_region_onsets
CMCL,398539.1616,399770.13248,1230.970879999979,11,4.223401057586204,RS_region_onsets
CMCL,406162.59584,406189.62944,27.0335999999661,3,5.496850620778558,RS_region_onsets
